Cal_yrs_BP,RSL
670,-0.37206097
671,-0.370994719
672,-0.369928469
673,-0.368862218
674,-0.367795967
675,-0.366729717
676,-0.365663466
677,-0.364597216
678,-0.363530965
679,-0.362464714
680,-0.361398464
681,-0.360332213
682,-0.359265963
683,-0.358199712
684,-0.357133461
685,-0.356067211
686,-0.35500096
687,-0.35393471
688,-0.352868459
689,-0.351802208
690,-0.350735958
691,-0.349669707
692,-0.348603457
693,-0.347537206
694,-0.346470955
695,-0.345404705
696,-0.344338454
697,-0.343272204
698,-0.342205953
699,-0.341139702
700,-0.340073452
701,-0.339007201
702,-0.337940951
703,-0.3368747
704,-0.335808449
705,-0.334742199
706,-0.333675948
707,-0.332609698
708,-0.331543447
709,-0.330477196
710,-0.329410946
711,-0.328344695
712,-0.327278445
713,-0.326212194
714,-0.325145943
715,-0.324079693
716,-0.323013442
717,-0.321947192
718,-0.320880941
719,-0.31981469
720,-0.31874844
721,-0.317682189
722,-0.316615939
723,-0.315549688
724,-0.314483437
725,-0.313417187
726,-0.312350936
727,-0.311284686
728,-0.310218435
729,-0.309152184
730,-0.308085934
731,-0.307019683
732,-0.305953433
733,-0.304887182
734,-0.303820931
735,-0.302754681
736,-0.30168843
737,-0.30062218
738,-0.299555929
739,-0.298489678
740,-0.297423428
741,-0.296357177
742,-0.295290927
743,-0.294224676
744,-0.293158425
745,-0.292092175
746,-0.291025924
747,-0.289959674
748,-0.288893423
749,-0.287827172
750,-0.286760922
751,-0.285694671
752,-0.284628421
753,-0.28356217
754,-0.282495919
755,-0.281429669
756,-0.280363418
757,-0.279297168
758,-0.278230917
759,-0.277164666
760,-0.276098416
761,-0.275032165
762,-0.273965915
763,-0.272899664
764,-0.271833413
765,-0.270767163
766,-0.269700912
767,-0.268634662
768,-0.267568411
769,-0.26650216
770,-0.26543591
771,-0.264369659
772,-0.263303409
773,-0.262237158
774,-0.261170907
775,-0.260104657
776,-0.259038406
777,-0.257972156
778,-0.256905905
779,-0.255839654
780,-0.254773404
781,-0.253707153
782,-0.252640903
783,-0.251574652
784,-0.250508401
785,-0.249442151
786,-0.2483759
787,-0.24730965
788,-0.246243399
789,-0.245177148
790,-0.244110898
791,-0.243044647
792,-0.241978397
793,-0.240912146
794,-0.239845895
795,-0.238779645
796,-0.237713394
797,-0.236647144
798,-0.235580893
799,-0.234514642
800,-0.233448392
801,-0.232382141
802,-0.231315891
803,-0.23024964
804,-0.229183389
805,-0.228117139
806,-0.227050888
807,-0.225984638
808,-0.224918387
809,-0.223852136
810,-0.222785886
811,-0.221719635
812,-0.220653385
813,-0.219587134
814,-0.218520883
815,-0.217454633
816,-0.216388382
817,-0.215322132
818,-0.214255881
819,-0.21318963
820,-0.21212338
821,-0.211057129
822,-0.209990879
823,-0.208924628
824,-0.207858377
825,-0.206792127
826,-0.205725876
827,-0.204659626
828,-0.203593375
829,-0.202527124
830,-0.201460874
831,-0.200394623
832,-0.199328373
833,-0.198262122
834,-0.197195871
835,-0.196129621
836,-0.19506337
837,-0.19399712
838,-0.192930869
839,-0.191864618
840,-0.190798368
841,-0.189732117
842,-0.188665867
843,-0.187599616
844,-0.186533365
845,-0.185467115
846,-0.184400864
847,-0.183334614
848,-0.182268363
849,-0.181202112
850,-0.180135862
851,-0.179069611
852,-0.178003361
853,-0.17693711
854,-0.175870859
855,-0.174804609
856,-0.173738358
857,-0.172672108
858,-0.171605857
859,-0.170539606
860,-0.169473356
