depth	min	max	median	mean
433	4935	5446	5249	5232
434	4948	5461	5267	5249
435	4962	5476	5284	5265
436	4985	5486	5298	5282
437	5003	5498	5310	5298
438	5017	5509	5323	5315
439	5033	5523	5336	5331
440	5048	5541	5351	5348
441	5063	5550	5362	5359
442	5073	5560	5374	5370
443	5083	5572	5385	5381
444	5090	5587	5397	5393
445	5099	5602	5407	5404
446	5109	5614	5418	5414
447	5118	5626	5428	5425
448	5128	5638	5439	5435
449	5137	5653	5449	5445
450	5142	5668	5458	5455
451	5155	5679	5470	5466
452	5166	5691	5480	5476
453	5176	5704	5491	5486
454	5185	5721	5502	5497
455	5192	5736	5512	5507
456	5204	5744	5523	5518
457	5214	5755	5533	5528
458	5228	5767	5544	5538
459	5239	5783	5554	5549
460	5247	5799	5564	5559
461	5259	5808	5574	5570
462	5269	5820	5585	5580
463	5278	5832	5596	5590
464	5286	5847	5606	5601
465	5292	5862	5616	5611
466	5304	5874	5626	5621
467	5315	5888	5637	5632
468	5326	5900	5647	5642
469	5337	5917	5657	5653
470	5345	5930	5666	5663
471	5355	5938	5676	5673
472	5363	5949	5687	5683
473	5371	5959	5697	5694
474	5381	5971	5707	5704
475	5393	5984	5717	5714
476	5407	5993	5728	5725
477	5420	6004	5739	5735
478	5430	6016	5750	5746
479	5443	6029	5760	5756
480	5455	6044	5770	5767
481	5468	6052	5780	5777
482	5478	6062	5791	5788
483	5486	6073	5801	5798
484	5496	6086	5812	5808
485	5503	6096	5822	5819
486	5516	6109	5833	5830
487	5527	6118	5845	5840
488	5538	6131	5855	5851
489	5547	6144	5865	5862
490	5559	6156	5877	5873
491	5571	6165	5888	5883
492	5580	6175	5898	5893
493	5585	6189	5908	5904
494	5594	6199	5917	5914
495	5605	6213	5928	5924
496	5617	6223	5938	5935
497	5627	6233	5950	5945
498	5638	6245	5961	5956
499	5647	6254	5971	5966
500	5656	6269	5982	5977
501	5667	6276	5992	5987
502	5676	6282	6002	5997
503	5688	6293	6013	6008
504	5699	6304	6022	6018
505	5708	6319	6032	6028
506	5719	6328	6042	6039
507	5730	6339	6054	6049
508	5744	6355	6065	6060
509	5753	6367	6075	6070
510	5759	6379	6086	6081
511	5772	6391	6096	6092
512	5782	6403	6106	6102
513	5794	6411	6117	6113
514	5804	6426	6127	6124
515	5814	6439	6138	6135
516	5826	6449	6148	6145
517	5838	6459	6158	6155
518	5848	6470	6168	6165
519	5857	6479	6177	6176
520	5865	6493	6187	6186
521	5876	6501	6198	6197
522	5888	6512	6209	6207
523	5896	6523	6220	6218
524	5903	6534	6231	6229
525	5910	6547	6242	6240
526	5925	6554	6253	6250
527	5939	6567	6264	6261
528	5950	6579	6275	6271
529	5961	6592	6286	6282
530	5972	6603	6297	6292
531	5986	6613	6307	6303
532	5997	6621	6316	6313
533	6005	6630	6327	6323
534	6014	6638	6337	6334
535	6022	6653	6347	6344
536	6032	6662	6357	6355
537	6043	6670	6367	6365
538	6051	6679	6378	6375
539	6063	6691	6387	6385
540	6071	6702	6398	6396
